action_00,action_01,action_02,action_03,action_04,action_05,action_06,action_07,action_08,action_09,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19
"[-0.15292781591415405,-0.02548367530107498,-0.23389384150505066]","[-0.22878102958202362,-0.15705546736717224,-0.22862368822097778]","[-0.16002464294433594,-0.11971644312143326,-0.11509670317173004]","[-0.20419694483280182,-0.11581412702798843,-0.1792387068271637]","[-0.16303840279579163,-0.029653824865818024,-0.19102883338928223]","[-0.20211336016654968,0.008870825171470642,-0.1721874624490738]","[-0.23146846890449524,-0.13719695806503296,-0.3061651885509491]","[-0.2647358179092407,-0.007646530866622925,-0.20748165249824524]","[-0.22648365795612335,0.008870884776115417,-0.30994129180908203]","[-0.22937482595443726,-0.053057052195072174,-0.24936848878860474]","[-0.20327115058898926,-0.1344912052154541,-0.32730570435523987]","[-0.2237144559621811,-0.03504747897386551,-0.3385331630706787]","[-0.1487579047679901,-0.03751634061336517,-0.26611411571502686]","[-0.196335569024086,-0.03273627161979675,-0.3260727822780609]","[-0.157927468419075,0.06903195381164551,-0.26510900259017944]","[-0.21299496293067932,-0.14103573560714722,-0.259513795375824]","[-0.07491700351238251,-0.0595317967236042,-0.18550631403923035]","[-0.19256004691123962,-0.06656461209058762,-0.2300853580236435]","[-0.29587477445602417,-0.17243920266628265,-0.33507078886032104]","[-0.23820048570632935,-0.14215832948684692,-0.2553746700286865]"
"[-0.20539908111095428,-0.03324213624000549,-0.1792556345462799]","[-0.19776180386543274,0.05350679159164429,-0.16606274247169495]","[-0.20638525485992432,-0.08086490631103516,-0.17950555682182312]","[-0.1964251697063446,0.08059424161911011,-0.12257988750934601]","[-0.19104471802711487,-0.01813603937625885,-0.21221406757831573]","[-0.15880334377288818,0.025518253445625305,-0.1559671312570572]","[-0.22532078623771667,-0.02119988203048706,-0.2554457485675812]","[-0.2107795774936676,-0.18142399191856384,-0.19156308472156525]","[-0.1764824539422989,-0.027865514159202576,-0.11501617729663849]","[-0.12789024412631989,-0.014493398368358612,-0.2610323429107666]","[-0.1544569730758667,-0.12257639318704605,-0.1774466335773468]","[-0.26926979422569275,0.00680878758430481,-0.29499369859695435]","[-0.19576682150363922,-0.046101637184619904,-0.2592247426509857]","[-0.16079390048980713,-0.07147179543972015,-0.29576534032821655]","[-0.24325072765350342,-0.14465822279453278,-0.248151034116745]","[-0.12813304364681244,-0.027926616370677948,-0.2893698513507843]","[-0.19990260899066925,-0.13735291361808777,-0.34341326355934143]","[-0.187178835272789,0.0007397681474685669,-0.29011422395706177]","[-0.16354209184646606,-0.08405044674873352,-0.2330043911933899]","[-0.25014200806617737,-0.2133733332157135,-0.23718439042568207]"
"[-0.2527661919593811,0.01526014506816864,-0.1279706060886383]","[-0.2846547067165375,-0.04345966875553131,-0.3360207974910736]","[-0.1790640503168106,-0.0956968367099762,-0.15879593789577484]","[-0.1879151165485382,-0.08045429736375809,-0.2070034146308899]","[-0.23811039328575134,-0.09252878278493881,-0.17557276785373688]","[-0.2569899559020996,-0.03427928686141968,-0.2793506979942322]","[-0.16305722296237946,-0.08358155936002731,-0.25990813970565796]","[-0.11093440651893616,-0.13943709433078766,-0.26918843388557434]","[-0.2208351343870163,-0.10246609896421432,-0.2703133821487427]","[-0.13671831786632538,-0.07788073271512985,-0.16689427196979523]","[-0.2058405578136444,-0.1455894410610199,-0.20079737901687622]","[-0.13358646631240845,-0.06450475007295609,-0.30502021312713623]","[-0.08227705955505371,-0.14527566730976105,-0.3569517731666565]","[-0.18612748384475708,-0.06999403238296509,-0.247898131608963]","[-0.23851178586483002,-0.02934318780899048,-0.27854785323143005]","[-0.14837729930877686,-0.13692216575145721,-0.21763233840465546]","[-0.17113155126571655,-0.1433410793542862,-0.12268753349781036]","[-0.21066546440124512,-0.0655616968870163,-0.21483533084392548]","[-0.22769583761692047,-0.036145202815532684,-0.16641849279403687]","[-0.19442670047283173,-0.04823955148458481,-0.18192043900489807]"
"[-0.222808837890625,-0.09008606523275375,-0.2034040093421936]","[-0.11621026694774628,-0.06282005459070206,-0.208634153008461]","[-0.2184683233499527,-0.052428968250751495,-0.27842625975608826]","[-0.2284955382347107,0.0698164701461792,-0.27269017696380615]","[-0.26365500688552856,-0.0545816645026207,-0.2404915988445282]","[-0.0872013121843338,-0.10379745066165924,-0.21623432636260986]","[-0.19150730967521667,-0.026255212724208832,-0.23024258017539978]","[-0.19442963600158691,-0.04243770241737366,-0.21164022386074066]","[-0.13893523812294006,-0.08067194372415543,-0.23269927501678467]","[-0.15949811041355133,-0.023326843976974487,-0.2685176134109497]","[-0.190738245844841,-0.04543660581111908,-0.27515193819999695]","[-0.25274235010147095,-0.10638654232025146,-0.2873118817806244]","[-0.18089807033538818,-0.06658611446619034,-0.2598680257797241]","[-0.16813579201698303,-0.050885748118162155,-0.2362942099571228]","[-0.2780926525592804,0.03720839321613312,-0.21235375106334686]","[-0.10960851609706879,-0.06717780232429504,-0.2526887059211731]","[-0.19074654579162598,-0.18019109964370728,-0.23177802562713623]","[-0.1011325865983963,-0.14805373549461365,-0.12323613464832306]","[-0.29176947474479675,-0.08068010210990906,-0.14808207750320435]","[-0.13645213842391968,0.008020758628845215,-0.12588690221309662]"
"[-0.217215433716774,0.002554669976234436,-0.18034808337688446]","[-0.19771163165569305,0.07233406603336334,-0.21484805643558502]","[-0.12915454804897308,-0.1069738045334816,-0.09797671437263489]","[-0.09610073268413544,-0.06342044472694397,-0.1543762981891632]","[-0.23077043890953064,-0.0689857006072998,-0.18735426664352417]","[-0.1984749138355255,-0.09618150442838669,-0.3158087134361267]","[-0.14683786034584045,0.050248876214027405,-0.1959328055381775]","[-0.1382579803466797,-0.060717687010765076,-0.19384676218032837]","[-0.022463500499725342,0.04130202531814575,-0.22262801229953766]","[-0.24415138363838196,-0.16648927330970764,-0.2598125636577606]","[-0.20534110069274902,-0.098880834877491,-0.26240816712379456]","[-0.1498885452747345,0.028596356511116028,-0.2869901657104492]","[-0.23050446808338165,-0.07858186960220337,-0.2855018377304077]","[-0.2050388753414154,-0.06589031219482422,-0.264011949300766]","[-0.23706288635730743,-0.030275292694568634,-0.2449398934841156]","[-0.3099721372127533,-0.011269673705101013,-0.21455413103103638]","[-0.2043653428554535,-0.02103910595178604,-0.17005321383476257]","[-0.2063714563846588,-0.06676732748746872,-0.2923320531845093]","[-0.17483752965927124,-0.12521398067474365,-0.2397092878818512]","[-0.23434606194496155,-0.1463603377342224,-0.048891469836235046]"
"[-0.10629913210868835,0.15434744954109192,-0.22039037942886353]","[-0.12188392877578735,-0.06839806586503983,-0.23530201613903046]","[-0.1810782551765442,-0.031128428876399994,-0.20126959681510925]","[-0.20843903720378876,-0.039831340312957764,-0.1575929820537567]","[-0.20241928100585938,0.015480898320674896,-0.21706414222717285]","[-0.18706053495407104,-0.028742752969264984,-0.2611452043056488]","[-0.17495077848434448,0.05038739740848541,-0.2413012981414795]","[-0.19679416716098785,-0.02214205265045166,-0.2354946732521057]","[-0.1407974362373352,-0.055739764124155045,-0.25553998351097107]","[-0.2343590259552002,-0.0503760427236557,-0.24083340167999268]","[-0.1680278480052948,-0.09831833839416504,-0.26886922121047974]","[-0.0666181743144989,0.06542477011680603,-0.17532879114151]","[-0.19943644106388092,-0.10616496205329895,-0.24169841408729553]","[-0.2067912369966507,-0.09646480530500412,-0.38922351598739624]","[-0.23477743566036224,0.05332084000110626,-0.1860024780035019]","[-0.04892072081565857,0.03454838693141937,-0.1658688336610794]","[-0.10001547634601593,0.001980125904083252,-0.25385311245918274]","[-0.20614206790924072,-0.09269304573535919,-0.20745301246643066]","[-0.09279128909111023,-0.0858936756849289,-0.22948825359344482]","[-0.10682404786348343,-0.010513946413993835,-0.2502783536911011]"
"[-0.16612228751182556,-0.03795056417584419,-0.14420096576213837]","[-0.1460416615009308,-0.06865827739238739,-0.23211130499839783]","[-0.14780168235301971,0.01470598578453064,-0.22841107845306396]","[-0.19024646282196045,-0.029212377965450287,-0.16374030709266663]","[-0.16588589549064636,-0.13276270031929016,-0.21324267983436584]","[-0.162454754114151,-0.04220203682780266,-0.20508505403995514]","[-0.20699048042297363,-0.07360170781612396,-0.23420581221580505]","[-0.23451806604862213,-0.0824294239282608,-0.2765057682991028]","[-0.15375715494155884,-0.03464680537581444,-0.1870882362127304]","[-0.1886192411184311,-0.08765541017055511,-0.23105117678642273]","[-0.26275157928466797,-0.14658212661743164,-0.3145906925201416]","[-0.24541127681732178,-0.11035025864839554,-0.21327082812786102]","[-0.21372035145759583,-0.016039244830608368,-0.29493412375450134]","[-0.2503466308116913,-0.05768145993351936,-0.351709246635437]","[-0.24160772562026978,-0.07509960234165192,-0.18254607915878296]","[-0.12308245897293091,-0.08258720487356186,-0.17944826185703278]","[-0.18650275468826294,-0.08217530697584152,-0.16789409518241882]","[-0.170732319355011,-0.14301404356956482,-0.34369614720344543]","[-0.10518798232078552,-0.11175127327442169,-0.22537094354629517]","[-0.07458259910345078,0.02829417586326599,-0.16546696424484253]"
"[-0.2409677505493164,-0.02632969617843628,-0.18710368871688843]","[-0.1830916702747345,-0.11903084814548492,-0.17916417121887207]","[-0.20737195014953613,0.005812056362628937,-0.20245619118213654]","[-0.23217891156673431,-0.02994212508201599,-0.22563955187797546]","[-0.22461244463920593,0.024649322032928467,-0.21995773911476135]","[-0.1812194287776947,0.13417692482471466,-0.2121937870979309]","[-0.11779418587684631,-0.046192068606615067,-0.21302002668380737]","[-0.21688184142112732,-0.09974835067987442,-0.2726276218891144]","[-0.22242583334445953,-0.12695246934890747,-0.2782457172870636]","[-0.23391447961330414,-0.11075405031442642,-0.1749756634235382]","[-0.19152836501598358,-0.15139083564281464,-0.31081297993659973]","[-0.345643550157547,-0.06889370083808899,-0.31986066699028015]","[-0.2463269978761673,-0.08875629305839539,-0.3901618421077728]","[-0.21257440745830536,-0.15887588262557983,-0.3129311501979828]","[-0.2834014892578125,-0.05024085193872452,-0.17262612283229828]","[-0.25538572669029236,-0.07554204761981964,-0.3376125693321228]","[-0.1340542584657669,-0.08220687508583069,-0.365311861038208]","[-0.19829359650611877,-0.14929848909378052,-0.12333238124847412]","[-0.16173328459262848,-0.11364981532096863,-0.14749282598495483]","[-0.2527522146701813,-0.12999340891838074,-0.28359243273735046]"
"[-0.3081809878349304,-0.07679970562458038,-0.1831396073102951]","[-0.15051500499248505,-0.07459869235754013,-0.21594415605068207]","[-0.2620004713535309,0.030101001262664795,-0.07467560470104218]","[-0.2740415930747986,0.0016032978892326355,-0.1994679570198059]","[-0.18658117949962616,-0.04964340105652809,-0.19595077633857727]","[-0.2682846188545227,-0.11183035373687744,-0.1398853212594986]","[-0.08546316623687744,0.027395099401474,-0.1122911274433136]","[-0.1896204799413681,-0.03001200407743454,-0.1883440911769867]","[-0.27675554156303406,-0.0683688297867775,-0.2790261209011078]","[-0.28515446186065674,-0.08252446353435516,-0.19587062299251556]","[-0.2655293941497803,-0.03388795256614685,-0.19692203402519226]","[-0.17580069601535797,-0.17773111164569855,-0.20424754917621613]","[-0.09347179532051086,-0.06100572645664215,-0.21278883516788483]","[-0.1425977349281311,-0.12590259313583374,-0.21703439950942993]","[-0.32901525497436523,0.014210313558578491,-0.30884993076324463]","[-0.21606901288032532,-0.16904470324516296,-0.29085198044776917]","[-0.17381519079208374,-0.19893698394298553,-0.20681914687156677]","[-0.299138605594635,-0.10912635922431946,-0.17556504905223846]","[-0.24341772496700287,-0.12608757615089417,-0.13491442799568176]","[-0.2052728533744812,-0.07717197388410568,-0.19904258847236633]"
"[-0.20584271848201752,-0.13475270569324493,-0.2292187213897705]","[-0.1945842057466507,-0.06521183252334595,-0.24080058932304382]","[-0.1889127641916275,-0.06666870415210724,-0.2615784704685211]","[-0.20902568101882935,-0.0308377668261528,-0.27635520696640015]","[-0.18487808108329773,-0.11472766846418381,-0.173256978392601]","[-0.22446280717849731,-0.07743114233016968,-0.18321524560451508]","[-0.22197653353214264,-0.0738295465707779,-0.3800356388092041]","[-0.17971953749656677,-0.05142075940966606,-0.20055727660655975]","[-0.1924610733985901,-0.027431577444076538,-0.24494469165802002]","[-0.2537696659564972,-0.13315236568450928,-0.27813994884490967]","[-0.25444963574409485,-0.15258492529392242,-0.2953580915927887]","[-0.21737095713615417,-0.1359495371580124,-0.31984657049179077]","[-0.14142155647277832,-0.11685387790203094,-0.2664211690425873]","[-0.2378595918416977,-0.1681264489889145,-0.3587108552455902]","[-0.19411097466945648,-0.11457593739032745,-0.27154773473739624]","[-0.2197771817445755,-0.0960327684879303,-0.2908329963684082]","[-0.19959312677383423,-0.05053778737783432,-0.18081900477409363]","[-0.20997047424316406,-0.14292263984680176,-0.34182119369506836]","[-0.16725054383277893,-0.09657920897006989,-0.25977176427841187]","[-0.15444353222846985,-0.11540201306343079,-0.14639291167259216]"
